0 1 2 0.004
0 2 3 0.006
0 3 0 0.013
0 3 1 0.009
0 3 2 0.012
0 4 0 0.001
0 4 2 0.001
0 6 0 0.003
0 6 2 0.002
0 7 0 0.012
0 7 2 0.012
0 9 1 0.019
0 10 0 1.000
0 10 1 0.017
0 10 2 0.041
0 12 1 0.003
0 13 0 0.021
0 13 1 0.016
0 13 2 0.029
0 13 3 0.011
0 14 0 0.014
0 14 2 0.006
0 15 0 0.001
0 16 0 0.002
0 16 2 0.002
0 17 0 0.025
0 17 3 0.017
0 18 2 0.016
0 19 0 0.001
0 19 1 0.001
0 19 2 0.001
0 19 3 0.001
0 23 2 0.038
0 25 0 0.002
0 26 2 0.010
0 28 0 0.018
0 28 1 0.015
0 28 2 0.046
0 28 3 0.012
0 29 0 0.003
0 29 2 0.002
0 30 3 0.002
0 31 0 0.015
0 31 1 0.011
0 31 2 0.025
0 31 3 0.011
0 36 0 0.002
0 36 2 0.002
0 38 0 0.001
0 39 2 0.002
0 40 2 0.025
0 44 1 0.001
0 44 2 0.001
0 45 0 0.001
0 45 1 0.001
0 46 0 0.022
0 46 1 0.012
0 46 2 0.027
0 47 0 0.021
0 47 1 0.016
0 47 2 0.049
0 47 3 0.012
0 48 0 0.001
0 48 1 0.001
0 48 2 0.001
0 49 0 0.016
0 49 1 0.013
0 49 2 0.036
0 49 3 0.012
0 51 0 0.002
0 51 1 0.002
0 52 2 0.006
0 53 0 0.011
0 53 2 0.009
0 56 1 0.001
0 59 0 0.003
0 59 1 0.003
0 59 2 0.004
0 59 3 0.003
0 60 2 0.006
0 65 0 0.003
0 66 0 0.010
0 66 1 0.008
0 66 2 0.012
0 66 3 0.007
0 69 0 0.006
0 69 3 0.007
0 70 0 0.001
0 70 1 0.001
0 71 0 0.005
0 71 2 0.047
0 72 0 0.003
0 72 1 0.003
0 73 0 0.003
0 73 1 0.003
0 73 2 0.004
0 73 3 0.003
0 75 0 0.002
0 75 2 0.002
0 77 0 0.024
0 77 1 0.019
0 77 2 0.030
0 77 3 0.016
0 78 1 0.004
0 78 3 0.006
0 79 0 0.014
0 80 2 0.003
0 82 0 0.015
0 82 1 0.011
0 82 3 0.012
0 83 0 0.002
0 83 2 0.002
0 84 2 0.014
0 86 0 0.001
0 86 2 0.001
0 87 0 0.008
0 90 1 0.001
0 91 2 0.030
0 93 2 0.022
0 96 0 0.026
0 96 2 0.036
0 96 3 0.013
0 98 0 0.021
0 98 1 0.017
0 98 2 0.042
0 98 3 0.014
0 99 0 0.022
0 99 1 0.015
0 99 2 0.039
0 99 3 0.013
0 102 1 0.006
0 103 0 0.002
0 104 0 0.018
0 104 1 0.012
0 104 2 0.608
0 104 3 0.013
0 105 3 0.001
0 106 2 0.049
0 108 0 0.021
0 108 1 0.018
0 108 2 0.038
0 108 3 0.013
0 109 0 0.011
0 109 2 0.009
0 111 0 0.001
0 111 1 0.001
0 111 2 0.001
0 111 3 0.001
0 113 1 0.003
0 113 2 0.004
0 113 3 0.003
0 114 0 0.018
0 114 1 0.015
0 114 2 0.046
0 114 3 0.011
0 115 1 0.002
0 118 0 0.014
0 118 1 1.000
0 118 3 0.011
0 119 1 0.014
0 119 2 0.023
0 123 0 0.008
0 123 1 0.007
0 123 2 0.011
0 123 3 0.007
0 124 1 0.007
0 124 3 0.008
0 127 2 0.035
0 129 0 0.011
0 129 1 0.013
0 134 0 0.002
0 134 2 0.004
0 135 2 0.012
0 136 3 0.007
0 137 2 0.004
0 138 0 0.001
0 138 3 0.001
0 139 0 0.015
0 139 1 0.012
0 139 2 0.040
